#  r W0 W2 w4
2.497650001317984536e+00 7.010968932970177046e-11 -4.138267125005983329e-15 1.005838683874589764e-14
2.500125006250314641e+00 7.011086384590242856e-11 9.138044593370284802e-15 -1.004350877503161991e-14
2.502602463747818362e+00 7.010967106086252922e-11 -4.111428368022899342e-15 1.003263523517202584e-14
2.505082376240827191e+00 7.011083075853411333e-11 9.131094161963490448e-15 -1.001777399452788129e-14
2.507564746162078251e+00 7.010965265170751623e-11 -4.084592924148929367e-15 1.000694899543603420e-14
2.510049575946718736e+00 7.011079760775865600e-11 9.124225711106571027e-15 -9.992104409512196808e-15
2.512536868032310355e+00 7.010963410201440083e-11 -4.057760448994588699e-15 9.981328008534649439e-15
2.515026624858833770e+00 7.011076439287499512e-11 9.117439314014298800e-15 -9.966499903177608792e-15
2.517518848868673942e+00 7.010961541141270953e-11 -4.030930703233509374e-15 9.955772076995500256e-15
2.520013542506649884e+00 7.011073111352501321e-11 9.110734931080705061e-15 -9.940960247938329846e-15
2.522510708219998676e+00 7.010959657985787796e-11 -4.004103470076471278e-15 9.930281125023008613e-15
2.525010348458383014e+00 7.011069776893412024e-11 9.104112705322720477e-15 -9.915485270609110059e-15
2.527512465673891651e+00 7.010957760691910012e-11 -3.977278445185068441e-15 9.904854903925397813e-15
2.530017062321044730e+00 7.011066435867683518e-11 9.097572662612958520e-15 -9.890074904501324043e-15
2.532524140856794226e+00 7.010955849239383308e-11 -3.950455421579144855e-15 9.879493242395358130e-15
2.535033703740525723e+00 7.011063088208654093e-11 9.091114776968859018e-15 -9.864728865863165162e-15
2.537545753434063300e+00 7.010953923612610160e-11 -3.923634051414989547e-15 9.854196065713953616e-15
2.540060292401669972e+00 7.011059733865322895e-11 9.084739283430998566e-15 -9.839447076521109904e-15
2.542577323110050802e+00 7.010951983779325354e-11 -3.896814082124020179e-15 9.828963151794988006e-15
2.545096848028354675e+00 7.011056372775165409e-11 9.078446103941322380e-15 -9.814229345919647188e-15
2.547618869628177851e+00 7.010950029714871152e-11 -3.869995327630308606e-15 9.803794347263461938e-15
2.550143390383565301e+00 7.011053004885684101e-11 9.072235286854550592e-15 -9.789075504312834433e-15
2.552670412771014252e+00 7.010948061389796049e-11 -3.843177451833655039e-15 9.778689524754966031e-15
2.555199939269475973e+00 7.011049630135778757e-11 9.066106939708981197e-15 -9.763985388774207545e-15
